name,credits,area,kind,is_lab_or_exercise,is_fourth_year,scope
インターンシップII（短期）,1,専攻,選択,false,false,共通
融合工学概論I,2,専攻,必修,false,false,共通
融合工学概論II,2,専攻,必修,false,false,共通
研究プロジェクト,4,専攻,必修,false,true,共通
グローバル科目I（論文）,1,専攻,必修,false,true,共通
グローバル科目II（討論）,1,専攻,必修,false,true,共通
融合基礎工学特別講義A,1,専攻,選択,false,false,共通
融合基礎工学特別講義B,1,専攻,選択,false,false,共通
卒業研究,6,専攻,必修,false,true,共通

材料力学入門,1,専攻,必修,false,false,物質材料
物理化学第二,2,専攻,必修,false,false,物質材料
分析化学第一,2,専攻,必修,false,false,物質材料
無機化学第二,2,専攻,必修,false,false,物質材料
弾性・塑性変形工学,1,専攻,必修,false,false,物質材料
固体物理I,2,専攻,必修,false,false,物質材料
結晶学基礎,1,専攻,必修,false,false,物質材料
分光学基礎,1,専攻,必修,false,false,物質材料
機器分析学,2,専攻,必修,false,false,物質材料
固体物理II,1,専攻,必修,false,false,物質材料
材料速度論,1,専攻,選択,false,false,物質材料
無機化学第三,2,専攻,選択,false,false,物質材料
固体物理III,1,専攻,選択,false,false,物質材料
電気化学I,1,専攻,選択,false,false,物質材料
電気化学II,1,専攻,選択,false,true,物質材料
触媒化学I,1,専攻,選択,false,false,物質材料
触媒化学II,1,専攻,選択,false,true,物質材料
材料組織制御学,1,専攻,選択,false,false,物質材料
相転移論,1,専攻,選択,false,true,物質材料
材料表面工学,1,専攻,選択,false,true,物質材料
磁性材料学,1,専攻,選択,false,true,物質材料
構造解析学,1,専攻,選択,false,false,物質材料
セラミックス材料学I,1,専攻,選択,false,false,物質材料
セラミックス材料学II,1,専攻,選択,false,true,物質材料

物質材料科学実験I,2,専攻,必修,true,false,物質材料
物質材料科学実験II,2,専攻,必修,true,false,物質材料
物質材料科学実験III,2,専攻,必修,true,false,物質材料
物質材料科学実験IV,2,専攻,必修,true,true,物質材料

力学,1,専攻,必修,false,false,機械電気
流体力学I,2,専攻,必修,false,false,機械電気
熱エネルギー変換基礎,2,専攻,必修,false,false,機械電気
電磁気学I,2,専攻,必修,false,false,機械電気
電気回路I,2,専攻,必修,false,false,機械電気
流体力学II,2,専攻,必修,false,false,機械電気
伝熱学,2,専攻,必修,false,false,機械電気
機械電気科学実験I,1,専攻,必修,true,false,機械電気
機械電気科学実験II,1,専攻,必修,true,false,機械電気
機械電気科学実験III,1,専攻,必修,true,false,機械電気
機械電気科学実験IV,1,専攻,必修,true,true,機械電気
機械電気科学設計演習,1,専攻,必修,true,true,機械電気

流体力学演習,1,専攻,選択,true,false,機械電気
熱工学演習,1,専攻,選択,true,false,機械電気
電気エネルギー工学,1,専攻,選択,false,false,機械電気
高電圧・パルスパワー工学,2,専攻,選択,false,false,機械電気
プラズマ理工学I,1,専攻,選択,false,false,機械電気
プラズマ理工学II,1,専攻,選択,false,true,機械電気

基幹教育セミナー,1,基幹,必修,False,False,共通
課題協学科目,2.5,基幹,必修,False,False,共通
学術英語・アカデミックイシューズ,1,基幹,必修,False,False,共通
学術英語・グローバルイシューズ,1,基幹,必修,False,False,共通
学術英語・プロダクション1,1,基幹,必修,False,False,共通
学術英語・プロダクション2,1,基幹,必修,False,False,共通
学術英語・CALL1,1,基幹,必修,False,False,共通
専門英語,1,基幹,必修,False,False,共通
ドイツ語IA,1,基幹,選択,False,False,共通
ドイツ語IB,1,基幹,選択,False,False,共通
ドイツ語IIA,1,基幹,選択,False,False,共通
ドイツ語IIB,1,基幹,選択,False,False,共通
文学・言語学入門,2,基幹,選択,False,False,共通
心理学入門,2,基幹,選択,False,False,共通
微分積分学I,2,基幹,必修,False,False,共通
微分積分学II,2,基幹,必修,False,False,共通
線形代数学I,2,基幹,必修,False,False,共通
線形代数学II,2,基幹,必修,False,False,共通
力学基礎,2,基幹,必修,False,False,共通
電磁気学基礎,1,基幹,必修,False,False,共通
熱力学基礎,1,基幹,必修,False,False,共通
無機物質化学I,1,基幹,必修,False,False,共通
有機物質化学I,1,基幹,必修,False,False,共通
基礎化学熱力学I,1,基幹,必修,False,False,共通
基礎化学熱力学II,1,基幹,必修,False,False,共通
細胞生物学,2,基幹,必修,False,False,共通
数理統計学,2,基幹,必修,False,False,共通
図形科学I,1,基幹,必修,False,False,共通
プログラミング演習,1,基幹,必修,True,False,共通
自然科学総合実験,1,基幹,必修,True,False,共通
健康・スポーツ科学演習,1,基幹,必修,True,False,共通
サイバーセキュリティ基礎論,1,基幹,必修,False,False,共通
先端技術入門A,1,基幹,必修,False,False,共通
先端技術入門Ｂ,1,基幹,必修,False,False,共通
大気と海洋の環境,1,基幹,選択,False,False,共通
自然災害と防災,2,基幹,選択,False,False,共通

工学倫理,1,専攻,必修,false,false,共通
データサイエンス序論,2,専攻,必修,false,false,共通
物理化学第一,2,専攻,必修,false,false,共通
量子力学,2,専攻,必修,false,false,共通
無機化学第一,2,専攻,必修,false,false,共通
有機化学第一,2,専攻,必修,false,false,共通
金属材料大意,2,専攻,必修,false,false,共通
機械工学大意第一,2,専攻,必修,false,false,共通
電気工学基礎I,1,専攻,必修,false,false,共通
電気工学基礎II,1,専攻,必修,false,false,共通
電子情報工学基礎I,1,専攻,必修,false,false,共通
電子情報工学基礎II,1,専攻,必修,false,false,共通
安全学,2,専攻,必修,false,false,共通
工学概論,2,専攻,必修,false,false,共通
複素関数論,2,専攻,必修,false,false,共通
融合基礎情報学I,2,専攻,必修,false,false,共通
融合基礎情報学II,2,専攻,必修,false,false,共通
融合基礎情報学III,2,専攻,必修,false,false,共通
融合基礎工学展望,2,専攻,必修,false,false,共通
常微分方程式とラプラス変換,2,専攻,選択,false,false,共通
フーリエ解析と偏微分方程式,2,専攻,選択,false,false,共通
光・量子物理計測,2,専攻,選択,false,false,物質材料
材料強度学,2,専攻,選択,false,false,物質材料
プロセス化学工学,2,専攻,選択,false,false,物質材料
構造材料学,1,専攻,選択,false,false,物質材料
材料加工学,1,専攻,選択,false,false,物質材料